rancestry,white,black,indig,asian,latino,mixed,other,N,entropy,eplusone,eminusone,eplustwo,eminustwo
White,2.01e+07,29234.94,8122.113,4902.31,79912.09,135691,8275.086,20365463,0.04409503927,0.0440235107766,0.0441695410279,0.043949628948,0.0442268671326
Black,17724.38,3532615,2076.232,5358.954,16207.86,62216.38,11884.4,3648083,0.0940540902947,0.0938313277635,0.0942748535132,0.0936102461149,0.0945369903803
Indig,261590.4,24071.86,281729.5,19553.65,14374.97,71277.07,2843.471,675441,0.665894037251,0.665328446012,0.666424623753,0.664823792674,0.66698217679
Asian,34482.48,4622.05,2697.737,1475322,6812.032,74590.7,9124.081,1607651,0.19720626694,0.196802504337,0.19762370208,0.196385219349,0.198049423296
Latino,63257.74,6158.69,1034.951,373.3502,3805440,3907.674,10566.76,3890739,0.0641851815646,0.0639982627862,0.0643663744853,0.0638331108446,0.0645282034701
White/Black,9836.28,25244.55,95.35238,30.95366,1685.039,49565.55,2567.278,89025,0.572609307498,0.571116595339,0.574025222585,0.569705300643,0.575605705932
White/Indig,699997.9,6164.692,24681.31,237.304,6052.418,89835.37,827.0378,827796,0.292576224796,0.291995763965,0.293189081253,0.291472431798,0.293673568881
White/Asian,33405.24,422.8776,196.0352,9966.971,2093.07,58576.05,1363.763,106024,0.555559509304,0.554296254491,0.556754745727,0.552909334221,0.558473372131
White/Latino,58659.13,468.8792,105.4951,33.13569,20034.47,180556.5,500.3937,260358,0.418656546752,0.417860424316,0.419398365795,0.417075943841,0.420262175941
Black/Indig,1674.488,45157.7,703.0761,76.51797,1091.736,22870.39,394.086,71968,0.456777884446,0.455130021573,0.458433360945,0.453175027223,0.460171164467
Black/Asian,163.2879,3662.627,28.35845,1519.468,444.3159,9588.287,341.6552,15748,0.570277715696,0.566374567299,0.574140410618,0.562999835575,0.577966173204
Black/Latino,386.2042,6512.25,7.786288,13.07636,4608.352,29965.81,230.5189,41724,0.435363020802,0.433113851326,0.437626421472,0.430540091772,0.440072028316
Indig/Asian,1863.618,328.5198,2525.624,1770.02,1737.803,18792.35,58.06992,27076,0.55528089809,0.551660890265,0.558714008127,0.548430740814,0.562195172047
Indig/Latino,3151.185,451.6063,1119.64,18.74887,15546.26,15572.51,125.0521,35985,0.578066636176,0.575988633064,0.580196110447,0.573539502201,0.582330570698
Asian/Latino,861.4678,64.06239,24.51892,1097.465,6223.944,18451.06,63.48131,26786,0.448399990355,0.445385049932,0.451350802147,0.442516926976,0.454112522133
