rancestry,year,white,black,indig,asian,latino,mixed,other,N,entropy,eplusone,eminusone,eplustwo,eminustwo
White,1990,7259631,8724.497,5736.638,1985.421,20679.02,0,1174.401,7297931,0.0564907490382,0.0562362364888,0.0567445638003,0.055972053533,0.0569787765626
Black,1990,6189.083,1015351,668.9925,929.5818,4979.676,0,1958.821,1030077,0.135207393831,0.134314371449,0.136113682951,0.133270932085,0.137094611318
Indig,1990,74331.96,3966.035,74491.5,8321.829,3015.549,0,519.1227,164646,1.51462449456,1.51173993067,1.51752618533,1.50894239867,1.52058784252
Asian,1990,10595.09,725.9533,710.5713,272825.5,3203.881,0,250.0167,288311,0.374604861104,0.372094810184,0.377049571541,0.369739172926,0.379260202004
Latino,1990,12640.09,1375.789,150.1603,72.84474,756029.3,0,2990.765,773259,0.179739506479,0.178557520141,0.180891305742,0.177216114605,0.181997901183
White/Black,1990,4141.818,8048.086,101.4591,28.70105,228.4659,0,1109.469,13658,1.43616207924,1.42624453102,1.44580475375,1.41674131373,1.45567280333
White/Indig,1990,241723.8,1121.782,13236.55,176.1887,1107.86,0,215.7684,257582,0.389691104251,0.387341069742,0.3920143834,0.385010128754,0.394511852402
White/Asian,1990,11514.76,50.15254,118.5029,5689.151,343.4411,0,83.98981,17800,1.15098546341,1.14266360994,1.15905896374,1.13424536418,1.16725682585
White/Latino,1990,13445.19,50.38341,36.64248,6.557075,5896.835,25929.95,132.4433,45498,1.40972174064,1.40545464648,1.41420774931,1.40121718434,1.41811512338
Black/Indig,1990,605.2874,8366.352,735.6174,66.66833,146.3653,0,144.7095,10065,0.967176988042,0.950422855303,0.983193022722,0.933291638399,0.99851416887
Black/Asian,1990,31.19744,1261.619,19.93418,511.0927,57.79124,0,37.36541,1919,1.33556353971,1.30422595176,1.36802945635,1.27309050775,1.39966452418
Black/Latino,1990,42.78108,830.5182,5.526944,4.387803,623.954,2762.291,33.54138,4303,1.41746311008,1.39831657278,1.43676865158,1.37894272062,1.45441969214
Indig/Asian,1990,517.5758,37.28642,2087.233,1084.733,203.866,0,33.30584,3964,1.72500273053,1.70571556479,1.7431425472,1.68783681531,1.76102225475
Indig/Latino,1990,598.463,64.51102,293.4698,5.585587,3615.888,1940.463,26.6196,6545,1.6166584502,1.60147477557,1.63229038201,1.58807333798,1.6463763567
Asian/Latino,1990,175.5291,8.04024,18.69598,265.7154,996.6023,1491.174,17.24293,2973,1.69494768244,1.67357591468,1.71670005882,1.64997109831,1.74004711594
White,2000,6003371,5718.998,2569.371,1138.89,18932.44,56868.2,2534.793,6091134,0.130641273397,0.130260712265,0.131007454766,0.129940235513,0.131393971371
Black,2000,4617.388,1159285,888.7866,1586.033,5854.318,25088.94,3857.894,1201178,0.281236504784,0.280141210945,0.282398967972,0.278897786846,0.283463255374
Indig,2000,67339.99,6313.864,92340.12,488.0432,4867.785,23799.74,695.4616,195845,1.75315302553,1.75060143005,1.75574726517,1.74805901812,1.75828761414
Asian,2000,7415.565,1031.969,502.6662,399720.6,2098.635,27255.8,1613.757,439639,0.571206961227,0.569158446053,0.573241173565,0.566853161647,0.575637046442
Latino,2000,20159.4,2074.091,342.0884,108.2352,1120414,1791.691,714.3809,1145604,0.176421773493,0.175492102224,0.177321447206,0.174584246129,0.17827748567
White/Black,2000,2302.359,5498.019,27.12816,5.691863,251.4518,9692.555,864.796,18642,1.68987617095,1.68224660317,1.69809900061,1.6734141206,1.70665115446
White/Indig,2000,180470.2,1182.89,8346.442,16.38044,1219.521,24018.07,215.5432,215469,0.843146608582,0.839896447867,0.846153824361,0.836793058776,0.849433402264
White/Asian,2000,8493.006,64.37766,40.67977,2610.989,452.3226,13081.86,538.7672,25282,1.61831128321,1.61067368127,1.62606520507,1.60249691965,1.63353434214
White/Latino,2000,16157.76,87.86702,27.22304,6.150215,5248.946,40461.74,65.31623,62055,1.23921867568,1.23495918671,1.24353482259,1.23105578625,1.24749410166
Black/Indig,2000,311.5281,8341.07,183.8526,2.304937,175.2656,4836.436,79.54293,13930,1.30228627966,1.29206391003,1.31231612578,1.28263781198,1.32207737238
Black/Asian,2000,23.42632,839.8918,15.34828,349.8689,70.90724,2146.111,78.44674,3524,1.57742023362,1.55370690275,1.60093041314,1.53355235216,1.62222462298
Black/Latino,2000,51.53027,1444.072,.5896949,3.039197,725.3701,5823.283,32.11569,8080,1.1810832102,1.16671341515,1.19496298992,1.15233248306,1.20684144055
Indig/Asian,2000,309.1067,47.33101,512.3696,266.8305,368.8449,4333.365,12.15187,5850,1.38266529817,1.36065483624,1.403842159,1.33882683284,1.42932208269
Indig/Latino,2000,886.9741,119.2104,341.609,4.635402,4302.157,4387.055,27.35895,10069,1.62535299703,1.61411363086,1.6368231581,1.60255243805,1.64758222174
Asian/Latino,2000,201.3824,10.07401,2.689663,235.3699,1272.455,4463.618,8.411309,6194,1.18327042302,1.165510934,1.19921111574,1.14972411887,1.2171334164
White,2002,1833035,2588.785,788.1368,764.3996,6732.428,8447.213,1384.718,1853741,0.11131787552,0.110650901893,0.111991546545,0.110051113832,0.1126667408
