ancestry,white,black,indig,asian,latino,mixed,other,N,meso,big,entropy,eplusone,eminusone,eplustwo,eminustwo
Alsatian,629.7595,0,3.916136,0,0,0,10.32436,644,1,1,0.0621360263708,0.0483453882602,0.0758842646874,0.035543697789,0.0882691817551
Austrian,30928.03,18.99342,5.155703,13.91067,92.25547,47.65377,12.0016,31118,1,1,0.0235553433285,0.0220447234182,0.0250267721388,0.0205274641127,0.0265335230472
Belgian,17836.5,27.07027,4.856213,3.187668,40.81709,29.99645,28.57694,17971,1,1,0.0287592014066,0.0266026590998,0.0308894070416,0.0243673134783,0.0330077708288
Flemish,569.754,0,0,.7971825,0,.6814624,3.76733,575,1,1,0.0317934067259,0.0203608776567,0.0422775799335,0.00760417696466,0.0541957084932
British,91306.78,970.1521,14.64692,115.4479,187.1031,260.4487,51.41848,92906,1,1,0.0552568495956,0.0540986190978,0.0564150752869,0.0529117109533,0.0576039539253
British Isles,5458.981,22.90117,.7950015,0,.2692747,8.232113,7.821789,5499,1,1,0.0263807316299,0.022885139061,0.0299311744912,0.0189965700291,0.0334561717468
Danish,61326.22,49.22575,35.93017,9.981317,122.7304,115.8578,17.05945,61677,1,1,0.0223925641416,0.021355687949,0.0234241719906,0.0202963580585,0.0244308557911
Dutch,188149.5,301.7774,68.55331,112.3274,340.8861,450.2738,83.69216,189507,1,1,0.0276649601923,0.027002420998,0.0283244386428,0.026303860656,0.0289839799022
English,1475830,9887.857,437.6409,454.7465,3005.809,3460.28,310.5112,1493387,1,1,0.0401232055445,0.0398678300587,0.0403825224475,0.0396115544682,0.04064915763
Finnish,39381.84,20.74917,12.67733,22.45173,83.08241,82.44548,11.75868,39615,1,1,0.0230809236926,0.0217734198776,0.0243682745557,0.0204720327716,0.0257052748266
"French (1990-2000,ACS, PRCS)",290311.2,2804.199,773.0221,84.81676,1358.854,1214.943,154.9639,296702,1,1,0.0690380412959,0.0683101012719,0.0697805493544,0.0675348778055,0.0705058513539
"German (1990-2000, ACS, PRCS)",2599898,1966.257,492.573,310.4092,4381.99,4742.331,631.0471,2612423,1,1,0.0190543739327,0.0189065054011,0.0192040059555,0.0187479365522,0.0193539212294
"Pennsylvania German (1990-2000, ACS, PRCS)",31596.12,25.11839,5.019095,3.334604,29.62183,48.31165,9.476692,31717,1,1,0.0157901695174,0.0145250494546,0.0170625551078,0.0131917508915,0.018308580119
Prussian,2399.976,0,0,2.227712,22.03366,18.81991,4.942356,2448,1,1,0.0611249845208,0.0537413592394,0.0684577271101,0.0461995904673,0.0758232388381
Greek,89285.59,87.86586,21.70461,9.966842,267.4634,445.1388,33.2696,90151,1,1,0.0337922861075,0.0328071204106,0.0347939926044,0.0317629858241,0.0357905518243
Icelander,2552.173,59.19725,47.0805,2.158107,17.22869,25.33063,.8318961,2704,1,1,0.151127824086,0.141175758272,0.160999390512,0.131212313708,0.1701969009
"Irish, various subheads,",1448683,2024.929,412.2395,174.5084,2484.257,3633.71,390.916,1457804,1,1,0.0240382484217,0.0238183568215,0.0242562295195,0.0235909789504,0.0244840405383
Celtic,4593.201,1.259372,1.191664,4.888531,27.8416,43.1572,13.46039,4685,1,1,0.0627831076485,0.0573682975046,0.0683049534931,0.0517760015553,0.0734545846909
Irish Scotch,22620.7,10.42916,6.804766,0,31.40105,60.84019,2.829296,22733,1,1,0.0190617853212,0.0174951626315,0.0206249770769,0.0159031085995,0.0221328221031
