ancestr1d,white,black,indig,asian,latino,mixed,other,raceshort,rancestry1,rancestry1s
"Alsatian",638,0,2,0,0,0,4,644,1,1
"Austrian",30922,17,10,14,78,67,12,31120,1,1
"Belgian",17832,22,7,4,39,58,12,17974,1,1
"Flemish",566,0,0,1,0,5,3,575,1,1
"British",91593,713,15,79,166,299,46,92911,1,1
"British Isles",5462,14,2,0,1,17,3,5499,1,1
"Danish",61367,32,32,7,100,126,15,61679,1,1
"Dutch",188279,213,58,90,264,538,83,189525,1,1
"English",1478829,7945,472,357,2439,3233,228,1493503,1,1
"Finnish",39391,12,18,22,50,115,12,39620,1,1
"French (1990-2000,ACS, PRCS)",291042,1915,662,60,1388,1506,146,296719,1,1
"German (1990-2000, ACS, PRCS)",2601135,1387,524,229,3794,5141,467,2612677,1,1
"Pennsylvania German (1990-2000, ACS, PRCS)",31605,7,7,4,32,57,9,31721,1,1
"Prussian",2413,0,0,2,11,19,3,2448,1,1
"Greek",88578,85,24,10,243,1170,43,90153,1,1
"Icelander",2585,32,24,2,20,40,1,2704,1,1
"Irish, various subheads,",1449121,1462,455,135,2120,4277,325,1457895,1,1
"Celtic",4587,3,3,5,17,63,9,4687,1,1
"Irish Scotch",22636,7,4,0,26,57,3,22733,1,1
"Italian (1990-2000, ACS, PRCS)",1021495,1083,258,151,7514,4698,400,1035599,1,1
"Sicilian",6676,21,9,0,66,94,13,6879,1,1
"Luxemburger",2243,0,0,1,3,1,1,2249,1,1
"Maltese",2619,1,2,1,8,20,9,2660,1,1
"Norwegian",255729,84,100,29,335,615,42,256934,1,1
"Portuguese",91556,520,113,97,1330,2927,548,97091,1,1
"Scotch Irish",301672,76,51,14,238,609,49,302709,1,1
"Scottish",258562,194,96,18,289,685,79,259923,1,1
"Swedish",166496,44,34,17,194,353,35,167173,1,1
"Swiss",38234,12,12,6,82,91,13,38450,1,1
"Romansch (1980)",5112,4,1,0,5,6,0,5128,1,1
"Welsh",60155,25,18,6,72,122,23,60421,1,1
"Scandinavian, Nordic",39046,35,6,9,58,100,13,39267,1,1
"Albanian",14044,14,5,1,43,395,13,14515,1,1
"Belourussian",3385,4,0,0,3,30,1,3423,1,1
"Bulgarian",7136,2,0,2,23,72,3,7238,1,1
"Carpatho Rusyn",58,0,0,0,0,0,0,58,1,1
"Turkestani (1990-2000, 2012 ACS)",22,0,0,8,0,65,0,95,1,1
"Croatian",23021,15,5,12,72,163,5,23293,1,1
"Czechoslovakian",26149,6,7,7,38,88,6,26301,1,1
"Czech",52861,21,6,11,87,173,18,53177,1,1
"Bohemian (1990-2000, ACS, PRCS)",17731,152,4,4,43,50,4,17988,1,1
"Estonian",2036,2,0,0,7,6,1,2052,1,1
"Georgian",668,7,0,0,5,2,1,683,1,1
"German from Russia (1990-2000); German Russian (ACS)",865,153,2,0,7,198,4,1229,1,1
"Rom",556,4,7,1,37,65,48,718,1,1
"Hungarian",74358,31,5,30,181,337,37,74979,1,1
"Latvian",6209,4,1,21,28,22,19,6304,1,1
"Lithuanian",36309,22,2,6,81,103,9,36532,1,1
"Macedonian",4005,0,0,0,11,77,1,4094,1,1
"Polish",507583,206,82,45,1159,1650,103,510828,1,1
"Romanian (1990-2000, ACS, PRCS)",30923,32,11,8,162,396,24,31556,1,1
"Moldavian",147,0,0,0,0,1,0,148,1,1
"Russian",178371,75,28,64,499,1289,108,180434,1,1
"Serbian (1990-2000, ACS, PRCS)",11002,5,0,0,31,112,2,11152,1,1
"Bosnian (1990), Herzegovinian (2000, ACS, PRCS) ",12169,1,2,6,36,450,64,12728,1,1
"Montenegrin (1990-2000, 2012 ACS)",48,0,0,0,0,0,0,48,1,1
"Slovak",45873,8,2,7,48,85,4,46027,1,1
"Slovene",10346,6,2,0,11,18,2,10385,1,1
"Uzbek",143,0,0,1,0,67,0,211,1,1
"Ukrainian (1990-2000, ACS, PRCS)",68203,23,14,16,222,556,23,69057,1,1
"Yugoslavian",13066,6,3,3,67,135,5,13285,1,1
"Slav",6769,40,1,2,24,60,5,6901,1,1
"Slavonian",360,1,0,0,3,1,0,365,1,1
"Mexican (1990-2000, ACS, PRCS)",18742,445,236,79,1926625,956,3236,1950319,6,5
"Mexicano/Mexicana (1990-2000, ACS, PRCS)",662,7,25,0,115566,95,121,116476,6,5
"Mexican Indian",183,15,27,2,1927,15,4,2173,6,5
"Mexican American",6424,150,44,11,339279,446,688,347042,6,5
"Mexican American Indian",490,27,262,7,11157,125,28,12096,6,5
"Chicano/Chicana",56,2,1,3,6595,10,22,6689,6,5
"Mexican state (1990-2000, ACS, PRCS)",537,20,9,1,36583,28,79,37257,6,5
"Costa Rican",314,132,2,1,7612,11,24,8096,6,5
"Guatemalan",763,47,96,3,66517,80,304,67810,6,5
"Honduran",670,259,8,10,36833,58,125,37963,6,5
"Nicaraguan",543,67,2,4,26145,32,54,26847,6,5
"Panamanian (1990-2000, ACS, PRCS)",459,1086,8,9,8720,85,54,10421,6,5
"Salvadoran",1142,19,10,7,111999,126,388,113691,6,5
"Central American (1990-2000, ACS, PRCS)",113,103,14,4,3701,17,43,3995,6,5
"Latin American (1990-2000, ACS, PRCS)",242,21,3,2,3348,26,47,3689,6,5
"Latino/Latina (1990-2000, ACS, PRCS)",578,44,10,15,22557,90,243,23537,6,5
"Latin (1990-2000, ACS, PRCS)",456,25,7,31,4887,25,68,5499,6,5
"Argentinean",1054,12,1,1,9073,18,24,10183,6,5
"Bolivian",210,5,4,1,6214,12,26,6472,6,5
"Chilean",467,1,2,4,7962,9,23,8468,6,5
"Colombian",2079,70,12,4,67507,82,160,69914,6,5
"Ecuadorian",723,12,6,6,37370,29,123,38269,6,5
"Paraguayan",42,0,2,0,675,3,2,724,6,5
"Peruvian",1065,23,6,15,34683,95,143,36030,6,5
"Uruguayan",144,1,1,3,2484,6,10,2649,6,5
"Venezuelan",485,45,1,3,11740,24,23,12321,6,5
"South American (1990-2000, ACS, PRCS)",405,288,3,33,2230,32,97,3088,6,5
"Puerto Rican",4360,637,35,21,267952,286,753,274044,6,5
"Cuban",5768,302,5,7,126226,92,109,132509,6,5
"Dominican",1186,1229,355,12,97638,210,574,101204,6,5
"Hispanic",10816,578,123,66,296753,1064,1648,311048,6,5
"Spanish American",2137,25,10,9,8577,90,133,10981,6,5
"Bahamian",282,2744,3,0,20,109,14,3172,7,2
"Barbadian",96,4849,9,5,51,108,12,5130,7,2
"Belizean",339,2132,22,19,323,293,704,3832,7,2
"Jamaican",1068,74240,64,336,845,3251,435,80239,7,2
"Dutch West Indies",1484,168,9,2,17,92,13,1785,7,2
"Trinidadian/Tobagonian",284,8622,46,581,128,541,200,10402,7,2
"Trinidadian",124,4445,53,320,58,697,85,5782,7,2
"Antigua (1990-2000, ACS, PRCS)",5,1352,0,0,4,45,4,1410,7,2
"British West Indian",35,1045,1,2,142,24,6,1255,7,2
"St Vincent Islander (1990); Vincent-Grenadine Islander (2000 Census, 2005 ACS, 2005 PRCS)",12,1191,3,1,6,44,4,1261,7,2
"Grenadian",33,2327,0,4,12,48,2,2426,7,2
"St Lucia Islander",3,984,1,1,12,43,3,1047,7,2
"West Indian (1990-2000, ACS, PRCS)",363,14221,114,400,886,1319,303,17606,7,2
"Haitian",462,65014,93,273,422,3740,155,70159,7,2
"Guyanese/British Guiana",290,9311,230,3093,150,1580,3231,17885,7,2
"Algerian",791,32,0,1,1,19,9,853,8,1
"Egyptian",15651,482,13,34,70,1489,132,17871,8,1
"Moroccan (1990-2000, ACS, PRCS)",3692,564,40,97,48,531,138,5110,8,1
"North African",47,3,0,0,0,8,0,58,8,1
"Iranian",37717,25,5,403,122,4510,118,42900,8,1
"Iraqi",5024,10,7,47,17,524,20,5649,8,1
"Israeli",11392,113,3,21,60,247,64,11900,8,1
"Jordanian",4623,5,2,29,26,464,22,5171,8,1
"Lebanese",31683,45,6,90,462,1118,44,33448,8,1
"Saudi Arabian",126,1,3,0,0,59,1,190,8,1
"Syrian (1990-2000, ACS, PRCS)",9526,13,1,28,91,428,26,10113,8,1
"Armenian",38002,30,4,10,141,2285,31,40503,8,1
"Turkish",13491,18,11,40,145,814,89,14608,8,1
"Yemeni",1726,35,0,65,7,279,9,2121,8,1
"Kurdish",935,1,3,13,2,53,3,1010,8,1
"Palestinian",7159,11,13,77,78,716,39,8093,8,1
"Assyrian ",3833,0,1,11,8,308,3,4164,8,1
"Chaldean (2000, ACS, PRCS)",3385,4,4,18,14,284,7,3716,8,1
"Middle Eastern",5637,21,0,78,44,558,41,6379,8,1
"Arab",18771,195,13,211,224,3722,130,23266,8,1
"Other Arab",1669,81,4,14,13,151,64,1996,8,1
"Cameroonian",7,993,0,0,0,3,5,1008,9,2
"Cape Verdean",556,3070,22,5,64,1204,3316,8237,9,2
"Congolese",3,101,0,1,0,0,0,105,9,2
"Ethiopian",84,10374,6,14,25,540,32,11075,9,2
"Eritrean",23,2098,3,0,2,89,8,2223,9,2
"Ghanian",29,6871,5,26,14,118,12,7075,9,2
"Kenyan",27,2995,2,24,6,83,2,3139,9,2
"Liberian",16,3426,2,0,6,65,6,3521,9,2
"Nigerian",138,20690,6,13,141,407,23,21418,9,2
"Senegalese",6,491,0,3,1,3,0,504,9,2
"Sierra Leonean",15,1183,0,0,4,54,2,1258,9,2
"Somalian",18,5297,54,4,12,425,8,5818,9,2
"Sudanese",102,1942,2,22,8,233,281,2590,9,2
"Ugandan",0,84,0,1,0,0,0,85,9,2
"West African",12,876,0,0,0,4,1,893,9,2
"African",1650,126466,82,69,1222,2515,207,132211,9,2
"Afghan",5281,39,5,509,32,2101,18,7985,10,4
"Bangladeshi (1990-2000, ACS, PRCS)",83,38,23,10598,10,445,36,11233,10,4
"Bengali (1990-2000, ACS, PRCS)",15,8,8,2185,4,100,6,2326,10,4
"Bhutanese",0,0,0,115,0,2,0,117,10,4
"Nepali",44,2,5,3275,4,132,8,3470,10,4
"India (1990-2000, ACS, PRCS)",3011,2159,1319,217847,802,8839,5457,239434,10,4
"Punjabi",18,13,6,1925,5,57,35,2059,10,4
"Pakistani (1990-2000, ACS, PRCS)",1077,53,32,31704,46,2173,104,35189,10,4
"Kashmiri (1990-2000)",1,0,0,53,0,10,0,64,10,4
"Sri Lankan",82,21,5,4107,8,179,12,4414,10,4
"Burmese (1990-2000, ACS, PRCS)",46,6,4,4044,11,119,8,4238,4,4
"Cambodian",246,37,27,23519,126,1096,35,25086,4,4
"Chinese",1834,349,88,326534,965,6078,151,335999,4,4
"Cantonese (1990-2000, ACS, PRCS)",4,3,1,3616,5,35,0,3664,4,4
"Mongolian (1990-2000, ACS, PRCS)",105,2,1,801,14,39,8,970,4,4
"Tibetan",5,0,0,185,2,4,1,197,4,4
"Hong Kong (1990-2000)",2,1,0,515,2,10,0,530,4,4
"Filipino",5508,323,453,258808,2276,17683,226,285277,4,4
"Indonesian (1990-2000, ACS, PRCS)",249,15,28,4830,27,613,18,5780,4,4
"Japanese (1990-2000, ACS, PRCS)",4683,134,108,108627,602,10916,153,125223,4,4
