raceancd,white,black,indig,asian,latino,mixed,other,raceshort
"White",2.01e+07,29234.94,8122.113,4902.31,79912.09,135691,8275.086,20365463
"Black",17724.38,3532615,2076.232,5358.954,16207.86,62216.38,11884.4,3648083
"Indig",261590.4,24071.86,281729.5,19553.65,14374.97,71277.07,2843.471,675441
"Asian",34482.48,4622.05,2697.737,1475322,6812.032,74590.7,9124.081,1607651
"Latino",63257.74,6158.69,1034.951,373.3502,3805440,3907.674,10566.76,3890739
"White/Black",9836.28,25244.55,95.35238,30.95366,1685.039,49565.55,2567.278,89025
"White/Indig",699997.9,6164.692,24681.31,237.304,6052.418,89835.37,827.0378,827796
"White/Asian",33405.24,422.8776,196.0352,9966.971,2093.07,58576.05,1363.763,106024
"White/Latino",58659.13,468.8792,105.4951,33.13569,20034.47,180556.5,500.3937,260358
"Black/Indig",1674.488,45157.7,703.0761,76.51797,1091.736,22870.39,394.086,71968
"Black/Asian",163.2879,3662.627,28.35845,1519.468,444.3159,9588.287,341.6552,15748
"Black/Latino",386.2042,6512.25,7.786288,13.07636,4608.352,29965.81,230.5189,41724
"Indig/Asian",1863.618,328.5198,2525.624,1770.02,1737.803,18792.35,58.06992,27076
"Indig/Latino",3151.185,451.6063,1119.64,18.74887,15546.26,15572.51,125.0521,35985
"Asian/Latino",861.4678,64.06239,24.51892,1097.465,6223.944,18451.06,63.48131,26786
