raceancd,yearint,white,black,indig,asian,latino,mixed,other,raceshort
"White",1990,7259631,8724.497,5736.638,1985.421,20679.02,0,1174.401,7297931
"Black",1990,6189.083,1015351,668.9925,929.5818,4979.676,0,1958.821,1030077
"Indig",1990,74331.96,3966.035,74491.5,8321.829,3015.549,0,519.1227,164646
"Asian",1990,10595.09,725.9533,710.5713,272825.5,3203.881,0,250.0167,288311
"Latino",1990,12640.09,1375.789,150.1603,72.84474,756029.3,0,2990.765,773259
"White/Black",1990,4141.818,8048.086,101.4591,28.70105,228.4659,0,1109.469,13658
"White/Indig",1990,241723.8,1121.782,13236.55,176.1887,1107.86,0,215.7684,257582
"White/Asian",1990,11514.76,50.15254,118.5029,5689.151,343.4411,0,83.98981,17800
"White/Latino",1990,13445.19,50.38341,36.64248,6.557075,5896.835,25929.95,132.4433,45498
"Black/Indig",1990,605.2874,8366.352,735.6174,66.66833,146.3653,0,144.7095,10065
"Black/Asian",1990,31.19744,1261.619,19.93418,511.0927,57.79124,0,37.36541,1919
"Black/Latino",1990,42.78108,830.5182,5.526944,4.387803,623.954,2762.291,33.54138,4303
"Indig/Asian",1990,517.5758,37.28642,2087.233,1084.733,203.866,0,33.30584,3964
"Indig/Latino",1990,598.463,64.51102,293.4698,5.585587,3615.888,1940.463,26.6196,6545
"Asian/Latino",1990,175.5291,8.04024,18.69598,265.7154,996.6023,1491.174,17.24293,2973
"White",2000,6003371,5718.998,2569.371,1138.89,18932.44,56868.2,2534.793,6091134
"Black",2000,4617.388,1159285,888.7866,1586.033,5854.318,25088.94,3857.894,1201178
"Indig",2000,67339.99,6313.864,92340.12,488.0432,4867.785,23799.74,695.4616,195845
"Asian",2000,7415.565,1031.969,502.6662,399720.6,2098.635,27255.8,1613.757,439639
"Latino",2000,20159.4,2074.091,342.0884,108.2352,1120414,1791.691,714.3809,1145604
"White/Black",2000,2302.359,5498.019,27.12816,5.691863,251.4518,9692.555,864.796,18642
"White/Indig",2000,180470.2,1182.89,8346.442,16.38044,1219.521,24018.07,215.5432,215469
"White/Asian",2000,8493.006,64.37766,40.67977,2610.989,452.3226,13081.86,538.7672,25282
"White/Latino",2000,16157.76,87.86702,27.22304,6.150215,5248.946,40461.74,65.31623,62055
"Black/Indig",2000,311.5281,8341.07,183.8526,2.304937,175.2656,4836.436,79.54293,13930
"Black/Asian",2000,23.42632,839.8918,15.34828,349.8689,70.90724,2146.111,78.44674,3524
"Black/Latino",2000,51.53027,1444.072,.5896949,3.039197,725.3701,5823.283,32.11569,8080
"Indig/Asian",2000,309.1067,47.33101,512.3696,266.8305,368.8449,4333.365,12.15187,5850
"Indig/Latino",2000,886.9741,119.2104,341.609,4.635402,4302.157,4387.055,27.35895,10069
"Asian/Latino",2000,201.3824,10.07401,2.689663,235.3699,1272.455,4463.618,8.411309,6194
"White",2002,1833035,2588.785,788.1368,764.3996,6732.428,8447.213,1384.718,1853741
"Black",2002,1546.584,260994.8,137.0932,468.2362,987.6121,4165.052,798.6715,269098
"Indig",2002,24318.16,2093.702,20281.11,1628.204,979.6792,6255.404,222.7417,55779
"Asian",2002,3631.242,564.1671,240.1395,115713.5,509.6395,5267.501,620.8508,126547
"Latino",2002,3965.593,507.5106,59.12428,27.59383,243269.2,353.2139,525.7744,248708
"White/Black",2002,734.0934,1651.855,10.67693,10.5277,91.54758,2970.294,174.0055,5643
"White/Indig",2002,65271.72,514.8185,1944.099,12.67494,467.2674,7470.002,82.41464,75763
"White/Asian",2002,3068.296,52.30837,19.76009,803.92,124.4107,4077.31,116.9943,8263
"White/Latino",2002,4652.078,33.46088,12.70227,4.21964,1528.868,12179.92,21.75571,18433
"Black/Indig",2002,140.6555,3321.482,47.79989,4.100078,89.57366,1802.202,31.187,5437
"Black/Asian",2002,15.79016,293.0108,1.295408,117.2741,29.12076,611.6293,36.87939,1105
"Black/Latino",2002,25.03687,432.7048,0,0,267.1352,1752.252,21.87143,2499
"Indig/Asian",2002,239.3927,38.54345,301.396,234.0449,213.2141,2398.756,17.65308,3443
"Indig/Latino",2002,322.2912,55.59567,104.8125,0,1342.254,1436.822,9.223876,3271
"Asian/Latino",2002,53.8021,5.857516,4.011401,82.02336,459.8059,1309.367,2.132644,1917
"White",2005,3608664,5935.273,1546.055,1065.89,13073.86,15130.93,1247.896,3646664
"Black",2005,3278.881,563243.3,331.7113,845.9598,1950.569,8310.362,2248.2,580209
"Indig",2005,49813.11,5176.17,44691.67,4328.886,2077.985,11307.47,583.7152,117979
"Asian",2005,7209.515,978.1386,556.3885,252673.6,1022.375,9613.382,1846.596,273900
"Latino",2005,10427.25,1093.246,161.8525,54.45844,622960.9,621.8664,3429.426,638749
"White/Black",2005,1718.741,4275.979,25.03791,3.573954,197.7543,6423.528,406.3855,13051
"White/Indig",2005,135716.6,1301.232,4364.682,89.40264,935.4389,14489.01,146.628,157043
"White/Asian",2005,6679.151,69.26368,48.17508,2003.368,307.0762,8076.292,221.6742,17405
"White/Latino",2005,11345.47,96.94407,15.80527,8.176189,4141.544,27377.09,127.9695,43113
"Black/Indig",2005,397.171,8728.191,108.9529,16.68911,128.4257,3494.189,91.38132,12965
"Black/Asian",2005,42.43586,666.1571,.7442376,272.0618,53.53502,1428.378,66.68798,2530
"Black/Latino",2005,102.7531,1088.973,.5605077,5.124642,726.5314,4186.225,42.83213,6153
"Indig/Asian",2005,401.4357,79.40985,571.9062,407.2785,335.0719,3231.517,5.380615,5032
"Indig/Latino",2005,782.5194,145.4758,259.6356,4.656629,3462.146,3170.615,39.95098,7865
"Asian/Latino",2005,176.2391,15.94437,2.929787,263.0934,1169.008,3129.118,25.66765,4782
"White",2008,4423946,7689.234,1534.465,1145.277,18694.24,23351.25,1736.735,4478097
"Black",2008,3939.849,737383.9,362.2967,1154.003,2960.351,13183.38,2505.209,761489
"Indig",2008,61545.03,6273.485,57594.31,6900.727,2906.398,15884.63,702.4193,151807
"Asian",2008,9162.004,1198.719,723.9453,338079.5,1354.985,15259,2735.85,368514
"Latino",2008,14691.11,1373.323,235.6769,103.9356,873840.1,800.9732,3349.92,894395
"White/Black",2008,2406.844,5780.457,16.49651,8.631803,292.9241,10473.44,488.2015,19467
"White/Indig",2008,167176.1,1765.792,5170.299,74.31128,1582.679,20297.67,170.1688,196237
"White/Asian",2008,7650.172,143.267,49.17119,2271.456,452.511,13045.55,270.8691,23883
"White/Latino",2008,13613.72,174.9744,23.34022,14.57514,4827.398,43326.13,196.8598,62177
"Black/Indig",2008,426.2719,11848.84,163.7077,19.08069,208.7675,5534.598,115.7356,18317
"Black/Asian",2008,37.93374,887.9829,4.857472,399.6849,94.38817,2109.22,97.93236,3632
"Black/Latino",2008,100.0975,1664.639,4.912168,1.541072,1076.503,7117.941,72.36619,10038
"Indig/Asian",2008,475.342,103.8099,589.7467,451.34,424.4184,4436.727,12.61616,6494
"Indig/Latino",2008,672.0273,87.23492,237.9209,5.760027,3593.123,3444.977,39.95735,8081
"Asian/Latino",2008,264.0796,12.28761,12.80298,262.009,1681.992,4651.75,17.07968,6902
"White",2011,4231301,7440.199,1684.353,820.6887,22852.37,30374.13,1353.836,4295827
"Black",2011,4152.55,811420.8,383.7638,1232.907,4564.924,11967.1,2386.937,836109
"Indig",2011,57988.37,3911.969,67888.62,5916.668,3637.215,14067.68,620.4771,154031
"Asian",2011,7094.06,869.1075,683.9696,369267.9,1827.875,17066.88,2241.2,399051
"Latino",2011,14232.93,1111.719,253.5524,74.7513,945282.9,408.7996,1918.309,963283
"White/Black",2011,2689.567,7997.299,19.9904,2.279896,836.9863,20024.53,651.3483,32222
"White/Indig",2011,151196.5,1411.646,4855.955,54.60654,1826.126,23745.07,194.0952,183284
"White/Asian",2011,7608.947,91.13304,44.14301,2331.311,747.2646,20147.13,221.0721,31191
"White/Latino",2011,13082.5,82.75726,25.49752,1.351211,4339.948,56953.69,94.2601,74580
"Black/Indig",2011,403.444,12822.44,202.3709,29.58638,488.1957,7297.561,75.39834,21319
"Black/Asian",2011,46.62304,975.4623,6.505347,376.0754,191.713,3294.581,66.03963,4957
"Black/Latino",2011,117.5178,1875.81,1.614106,2.495237,1773.747,11119.31,63.50377,14954
"Indig/Asian",2011,421.7018,52.71635,582.2615,402.445,403.9747,4381.653,12.24723,6257
"Indig/Latino",2011,494.6874,51.08866,172.7805,5.297434,2786.31,3176.075,12.7612,6699
"Asian/Latino",2011,170.2621,16.31425,1.667023,251.5034,1610.64,4931.028,9.585383,6991
