rancestry1,rancestry2,dummy
"W","W",7.55e+08
"W","B",3048213
"W","AI",4.74e+07
"W","EA",4073600
"W","PI",585667
"W","H",1.01e+07
"W","C",667522
"W","ME",3270962
"W","SSA",505374
"W","SA",545309
"W","A",7218155
"W","M",322191
"W","None",9.58e+08
"B","W",4598034
"B","B",905814
"B","AI",5801973
"B","EA",716711
"B","PI",97234
"B","H",2042343
"B","C",755603
"B","ME",69700
"B","SSA",210684
"B","SA",86519
"B","A",947416
"B","M",17343
"B","None",3.52e+08
"AI","W",2.94e+07
"AI","B",1570270
"AI","AI",143534
"AI","EA",260366
"AI","PI",59158
"AI","H",1133658
"AI","C",144933
"AI","ME",70805
"AI","SSA",240714
"AI","SA",30892
"AI","A",335228
"AI","M",25262
"AI","None",5.36e+07
"EA","W",5163907
"EA","B",373795
"EA","AI",309212
"EA","EA",4054823
"EA","PI",653388
"EA","H",987345
"EA","C",88303
"EA","ME",82697
"EA","SSA",39738
"EA","SA",131882
"EA","A",706449
"EA","M",6040
"EA","None",1.23e+08
"PI","W",861272
"PI","B",58775
"PI","AI",65957
"PI","EA",1277352
"PI","PI",185266
"PI","H",183065
"PI","C",3780
"PI","ME",5054
"PI","SSA",5693
"PI","SA",19102
"PI","A",33349
"PI","M",719
"PI","None",4769815
"H","W",1.67e+07
"H","B",1889822
"H","AI",2239451
"H","EA",1628939
"H","PI",237440
"H","H",1.06e+07
"H","C",386087
"H","ME",422048
"H","SSA",186008
"H","SA",164770
"H","A",963418
"H","M",18425
"H","None",4.46e+08
"C","W",597250
"C","B",475184
"C","AI",165538
"C","EA",88759
"C","PI",5481
"C","H",325164
"C","C",385868
"C","ME",15515
"C","SSA",138161
"C","SA",103571
"C","A",203169
"C","M",1987
"C","None",2.63e+07
"ME","W",3255052
"ME","B",32989
"ME","AI",113727
"ME","EA",67751
"ME","PI",4554
"ME","H",244002
"ME","C",12967
"ME","ME",745049
"ME","SSA",26175
"ME","SA",28540
"ME","A",199653
"ME","M",1132
"ME","None",2.51e+07
"SSA","W",702650
"SSA","B",133966
"SSA","AI",873609
"SSA","EA",75320
"SSA","PI",9578
"SSA","H",258665
"SSA","C",446805
"SSA","ME",40538
"SSA","SSA",172178
"SSA","SA",42776
"SSA","A",72740
"SSA","M",1275
"SSA","None",2.39e+07
"SA","W",445773
"SA","B",31802
"SA","AI",15685
"SA","EA",101432
"SA","PI",14423
"SA","H",77622
"SA","C",99947
"SA","ME",25091
"SA","SSA",34298
"SA","SA",253678
"SA","A",72581
"SA","M",466
"SA","None",3.30e+07
